,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.01,0.00,0.48,0.77,0.41,0.15,0.68,0.83,0.00,1.15,1.18,13.42,19.31
Expenses,1.35,0.05,0.54,0.75,0.52,0.22,0.85,0.95,0.14,1.27,0.9,12.3,16.73
Operating Profit,-0.34,-0.05,-0.06,0.02,-0.11,-0.07,-0.17,-0.12,-0.14,-0.12,0.28,1.12,2.58
OPM %,-33.66,,-12.5,2.6,-26.83,-46.67,-25.0,-14.46,,-10.43,23.73,8.35,13.36
Other Income,0.59,0.00,-2.06,0.01,0.0,0.0,-0.09,0.0,0.01,0.03,0.04,0.04,0.54
Interest,2.07,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.02,0.17
Depreciation,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.05,0.12
Profit before tax,-1.82,-0.05,-2.12,0.03,-0.11,-0.07,-0.26,-0.12,-0.13,-0.09,0.32,1.09,2.83
Tax %,0.0,0.00,0.0,33.33,0.0,0.0,0.0,0.0,7.69,0.0,28.12,19.27,
Net Profit,-1.82,-0.05,-2.12,0.02,-0.11,-0.07,-0.26,-0.12,-0.13,-0.09,0.23,0.88,2.30
EPS in Rs,-0.11,-0.00,-0.13,0.0,-0.01,-0.0,-0.02,-0.01,-0.01,-0.01,0.01,0.05,0.13
