,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.25,0.36,0.00,0.02,0.00,0.48,0.08,0.38,16.5,21.31,27.32,25.52,26.45
Expenses,0.38,0.35,0.04,0.4,0.11,0.54,0.11,0.46,15.85,20.12,27.84,25.26,26.03
Operating Profit,-0.13,0.01,-0.04,-0.38,-0.11,-0.06,-0.03,-0.08,0.65,1.19,-0.52,0.26,0.42
OPM %,-52.0,2.78,,-1900.0,,-12.5,-37.5,-21.05,3.94,5.58,-1.9,1.02,1.59
Other Income,0.0,0.0,0.06,0.4,0.21,0.07,0.09,0.37,0.56,0.33,0.09,0.1,0.34
Interest,0.0,0.0,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.19
Depreciation,0.0,0.0,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.03
Profit before tax,-0.13,0.01,0.02,0.02,0.10,0.01,0.06,0.29,1.21,1.51,-0.44,0.28,0.54
Tax %,0.0,0.0,0.00,0.0,0.00,0.0,33.33,20.69,16.53,16.56,52.27,-300.0,
Net Profit,-0.13,0.0,0.02,0.02,0.10,0.02,0.05,0.23,1.01,1.26,-0.21,1.12,1.33
EPS in Rs,-0.02,0.0,0.00,0.0,0.02,0.06,0.15,0.01,0.05,0.05,-0.01,0.04,0.05
