,Mar 2011,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,63.0,78.0,98.0,193.0,209.0,288.0,323.0,206.0,200.0,323.0,391.0,454
Expenses,54.0,70.0,87.0,175.0,189.0,263.0,305.0,189.0,177.0,296.0,356.0,411
Operating Profit,9.0,8.0,11.0,18.0,21.0,25.0,18.0,17.0,23.0,27.0,35.0,43
OPM %,15.0,10.0,11.0,9.0,10.0,9.0,6.0,8.0,11.0,8.0,9.0,9
Other Income,0.0,0.0,0.0,2.0,2.0,2.0,3.0,6.0,4.0,5.0,6.0,5
Interest,2.0,2.0,3.0,3.0,4.0,5.0,6.0,9.0,8.0,6.0,9.0,9
Depreciation,1.0,1.0,1.0,5.0,4.0,4.0,3.0,8.0,8.0,8.0,6.0,6
Profit before tax,7.0,5.0,7.0,13.0,15.0,18.0,11.0,6.0,11.0,18.0,26.0,33
Tax %,33.0,4.0,31.0,37.0,42.0,34.0,29.0,21.0,28.0,29.0,26.0,
Net Profit,4.0,5.0,5.0,8.0,9.0,12.0,8.0,5.0,8.0,12.0,20.0,24
EPS in Rs,2.02,0.54,0.55,0.92,1.0,1.3,0.63,0.39,0.64,1.02,1.54,1.94
