,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1682.0,1872.0,2816.0,2494.0,2679.0,2228.0,2645.0,2703.0,2485.0,2417.0,2938.0,2609
Expenses,242.0,268.0,372.0,431.0,480.0,524.0,606.0,590.0,619.0,623.0,665.0,861
Operating Profit,1440.0,1604.0,2443.0,2063.0,2199.0,1705.0,2039.0,2112.0,1867.0,1794.0,2273.0,1748
OPM %,86.0,86.0,87.0,83.0,82.0,76.0,77.0,78.0,75.0,74.0,77.0,67
Other Income,245.0,237.0,309.0,541.0,411.0,409.0,397.0,587.0,425.0,195.0,310.0,404
Interest,54.0,29.0,65.0,218.0,55.0,101.0,251.0,344.0,42.0,226.0,449.0,368
Depreciation,447.0,475.0,641.0,677.0,680.0,365.0,390.0,384.0,393.0,404.0,396.0,393
Profit before tax,1185.0,1338.0,2047.0,1709.0,1875.0,1648.0,1795.0,1972.0,1856.0,1360.0,1738.0,1391
Tax %,11.0,17.0,18.0,17.0,18.0,26.0,24.0,21.0,11.0,27.0,22.0,
Net Profit,1052.0,1114.0,1677.0,1411.0,1545.0,1225.0,1367.0,1567.0,1646.0,990.0,1359.0,1016
EPS in Rs,2.54,2.69,4.05,3.41,3.73,3.12,3.47,3.99,4.19,2.52,3.46,2.58
