,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,43.93,23.57,94.28,72.68,89.58,305.89,429.44,405.08,267.52,143.1,154.88,65.95,26.29
Expenses,38.77,25.56,56.33,45.77,61.72,204.25,306.53,302.66,248.17,127.4,121.64,59.1,33.88
Operating Profit,5.16,-1.99,37.95,26.91,27.86,101.64,122.91,102.42,19.35,15.7,33.24,6.85,-7.59
OPM %,11.75,-8.44,40.25,37.03,31.1,33.23,28.62,25.28,7.23,10.97,21.46,10.39,-28.87
Other Income,2.05,0.24,-0.02,-0.17,0.87,2.19,1.95,5.08,3.9,22.57,5.29,24.1,27.69
Interest,0.54,0.46,0.71,0.9,0.79,4.26,5.67,3.03,2.61,1.92,1.11,0.55,0.14
Depreciation,11.43,7.68,8.84,10.71,12.3,23.72,33.93,32.01,28.35,27.24,19.83,12.54,13.55
Profit before tax,-4.76,-9.89,28.38,15.13,15.64,75.85,85.26,72.46,-7.71,9.11,17.59,17.86,6.41
Tax %,-6.51,-8.19,6.73,4.16,25.64,33.37,36.1,37.33,-13.75,29.31,30.7,27.27,
Net Profit,-5.07,-10.7,26.47,14.49,11.63,50.54,54.48,45.41,-8.77,6.45,12.19,12.99,2.46
EPS in Rs,-9.87,-19.87,46.98,25.72,20.64,82.58,85.61,71.35,-13.78,10.13,19.15,20.42,3.91
