,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,28.0,33.0,27.0,26.0,16.0,8.0,381.0,2080.0,2078
Expenses,0.0,0.0,28.0,32.0,27.0,26.0,16.0,9.0,363.0,1949.0,1892
Operating Profit,0.0,0.0,1.0,2.0,-1.0,-0.0,-0.0,-1.0,18.0,132.0,186
OPM %,,,2.0,5.0,-3.0,-1.0,-0.0,-17.0,5.0,6.0,9
Other Income,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2.0,-30.0,-12
Interest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,14
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,55.0,52
Profit before tax,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-2.0,7.0,27.0,107
Tax %,,,-8.0,8.0,-9.0,9.0,-56.0,-1.0,59.0,37.0,
Net Profit,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-2.0,3.0,17.0,74
EPS in Rs,0.0,0.0,0.5,2.62,-4.7,-2.48,-1.84,-3.38,0.14,0.88,3.81
