,Mar 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,773.0,1235.0,461.0,961.0,855.0,804.0,758.0,800.0,693.0,657.0,804.0,639.0,557
Expenses,760.0,1194.0,429.0,897.0,799.0,769.0,738.0,768.0,696.0,590.0,774.0,683.0,633
Operating Profit,14.0,40.0,32.0,63.0,56.0,34.0,20.0,32.0,-3.0,67.0,30.0,-44.0,-77
OPM %,2.0,3.0,7.0,7.0,7.0,4.0,3.0,4.0,-0.0,10.0,4.0,-7.0,-14
Other Income,7.0,-1.0,4.0,7.0,19.0,17.0,10.0,7.0,16.0,8.0,45.0,14.0,12
Interest,41.0,53.0,17.0,34.0,39.0,37.0,36.0,40.0,43.0,46.0,51.0,44.0,46
Depreciation,47.0,74.0,17.0,28.0,30.0,31.0,30.0,23.0,15.0,15.0,13.0,12.0,12
Profit before tax,-68.0,-87.0,3.0,9.0,5.0,-17.0,-36.0,-23.0,-45.0,15.0,10.0,-85.0,-123
Tax %,-0.0,-1.0,-33.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-68.0,-88.0,3.0,9.0,5.0,-17.0,-36.0,-23.0,-45.0,15.0,10.0,-85.0,-123
EPS in Rs,-1.9,-1.99,0.06,0.16,0.09,-0.29,-0.6,-0.28,-0.53,0.18,0.11,-0.98,-1.41
