,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,483.33,452.71,425.36,5.74,385.51,391.29,6.55,5.73,5.48,2.35,3.06,4.89,6.00
Expenses,483.22,452.26,424.74,4.66,384.83,390.3,5.31,5.42,5.28,2.79,2.68,3.95,4.33
Operating Profit,0.11,0.45,0.62,1.08,0.68,0.99,1.24,0.31,0.2,-0.44,0.38,0.94,1.67
OPM %,0.02,0.1,0.15,18.82,0.18,0.25,18.93,5.41,3.65,-18.72,12.42,19.22,27.83
Other Income,0.15,0.14,0.01,0.01,0.01,0.01,0.1,0.16,0.14,0.31,0.09,0.04,0.41
Interest,0.15,0.22,0.21,0.13,0.09,0.07,0.12,0.13,0.17,0.05,0.11,0.09,0.12
Depreciation,0.21,0.24,0.2,0.31,0.18,0.14,0.14,0.13,0.11,0.08,0.07,0.05,0.04
Profit before tax,-0.1,0.13,0.22,0.65,0.42,0.79,1.08,0.21,0.06,-0.26,0.29,0.84,1.92
Tax %,0.0,76.92,22.73,26.15,26.19,29.11,25.93,33.33,66.67,-7.69,17.24,14.29,
Net Profit,-0.1,0.04,0.18,0.49,0.32,0.55,0.8,0.13,0.01,-0.27,0.25,0.72,1.44
EPS in Rs,-0.05,0.02,0.08,0.23,0.15,0.25,0.37,0.06,0.0,-0.12,0.12,0.33,0.66
