,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.54,13.88,16.72,14.46,19.11,22.87,21.26,31.14,29.34,16.53,20.35,32.21,34.30
Expenses,9.06,12.09,14.29,12.19,16.09,19.28,17.83,26.61,25.57,15.3,18.53,27.85,29.03
Operating Profit,0.48,1.79,2.43,2.27,3.02,3.59,3.43,4.53,3.77,1.23,1.82,4.36,5.27
OPM %,5.03,12.9,14.53,15.7,15.8,15.7,16.13,14.55,12.85,7.44,8.94,13.54,15.36
Other Income,0.02,0.0,0.1,0.07,0.09,0.09,0.15,0.26,0.27,0.18,0.36,0.51,0.58
Interest,0.0,0.0,0.01,0.01,0.06,0.05,0.04,0.05,0.05,0.03,0.02,0.06,0.02
Depreciation,0.01,0.01,0.04,0.14,0.12,0.16,0.12,0.14,0.16,0.14,0.14,0.19,0.19
Profit before tax,0.49,1.78,2.48,2.19,2.93,3.47,3.42,4.6,3.83,1.24,2.02,4.62,5.64
Tax %,30.61,30.9,33.47,33.79,33.11,33.14,27.49,27.39,25.33,26.61,19.8,23.81,
Net Profit,0.34,1.22,1.65,1.46,1.96,2.32,2.48,3.34,2.87,0.9,1.61,3.52,4.25
EPS in Rs,13.6,48.8,66.0,64.89,86.5,102.38,109.44,147.4,12.67,3.97,5.21,11.39,13.75
