,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18.0,214.0,556.0,853.0,1155.0,1341.0,1797.0,1529.0,880.0,1340.0,1799.0,1742
Expenses,21.0,200.0,493.0,739.0,952.0,1137.0,1545.0,1272.0,743.0,1122.0,1441.0,1438
Operating Profit,-3.0,15.0,63.0,115.0,203.0,204.0,251.0,257.0,136.0,218.0,357.0,304
OPM %,-17.0,7.0,11.0,13.0,18.0,15.0,14.0,17.0,15.0,16.0,20.0,17
Other Income,1.0,2.0,7.0,7.0,11.0,25.0,36.0,25.0,29.0,13.0,4.0,25
Interest,1.0,4.0,15.0,32.0,42.0,40.0,49.0,65.0,70.0,67.0,89.0,94
Depreciation,0.0,2.0,9.0,16.0,65.0,67.0,89.0,114.0,90.0,99.0,136.0,114
Profit before tax,-3.0,11.0,46.0,74.0,106.0,122.0,149.0,103.0,5.0,65.0,136.0,122
Tax %,-18.0,62.0,31.0,34.0,35.0,35.0,35.0,12.0,66.0,27.0,30.0,
Net Profit,-4.0,4.0,32.0,49.0,69.0,80.0,97.0,91.0,2.0,48.0,95.0,83
EPS in Rs,-12.1,10.21,64.85,84.84,17.16,11.72,14.33,13.41,0.23,7.03,14.04,12.07
