,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,56.0,61.0,76.0,84.0,97.0,94.0,104.0,112.0,114.0,76.0,83.0,112.0,107
Expenses,52.0,58.0,68.0,76.0,87.0,87.0,95.0,103.0,108.0,70.0,75.0,100.0,96
Operating Profit,4.0,3.0,8.0,7.0,10.0,7.0,8.0,8.0,6.0,6.0,7.0,12.0,11
OPM %,8.0,5.0,11.0,9.0,10.0,8.0,8.0,7.0,5.0,8.0,9.0,10.0,11
Other Income,0.0,-0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0
Interest,2.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3
Profit before tax,1.0,-3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,6.0,6
Tax %,26.0,32.0,37.0,32.0,56.0,101.0,23.0,36.0,-29.0,-62.0,-22.0,30.0,
Net Profit,1.0,-2.0,1.0,1.0,2.0,-0.0,3.0,2.0,2.0,2.0,3.0,4.0,4
EPS in Rs,0.71,-2.48,1.06,1.4,2.17,-0.02,3.56,2.44,2.31,2.61,3.1,4.75,4.91
