,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,35.13,22.23,25.2,19.62,30.15,34.51,34.95,26.91,33.88,48.34
Expenses,32.31,19.17,25.35,17.83,30.01,32.66,34.31,27.17,32.66,49.5
Operating Profit,2.82,3.06,-0.15,1.79,0.14,1.85,0.64,-0.26,1.22,-1.16
OPM %,8.03,13.77,-0.6,9.12,0.46,5.36,1.83,-0.97,3.6,-2.4
Other Income,0.03,0.08,3.06,1.07,2.75,0.49,1.36,1.31,0.72,1.45
Interest,1.68,1.7,1.43,1.64,1.43,0.92,0.83,0.6,0.75,0.57
Depreciation,1.67,1.43,1.31,1.2,1.2,1.03,1.13,0.94,1.37,0.93
Profit before tax,-0.5,0.01,0.17,0.02,0.26,0.39,0.04,-0.49,-0.18,-1.21
Tax %,40.0,-1300.0,47.06,0.0,65.38,25.64,75.0,4.08,61.11,0.83
Net Profit,-0.3,0.14,0.08,0.01,0.1,0.29,0.0,-0.47,-0.07,-1.19
EPS in Rs,-0.18,0.08,0.05,0.01,0.06,0.17,0.0,-0.28,-0.04,-0.71
