,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.5,1.89,51.75,51.88,54.3,62.95,47.43,49.77,69.45,60.8,82.22
Expenses,12.64,1.81,42.74,43.29,47.46,56.78,44.52,47.83,66.96,59.83,82.16
Operating Profit,-0.14,0.08,9.01,8.59,6.84,6.17,2.91,1.94,2.49,0.97,0.06
OPM %,-1.12,4.23,17.41,16.56,12.6,9.8,6.14,3.9,3.59,1.6,0.07
Other Income,0.0,0.0,0.14,0.17,0.12,0.1,3.14,3.82,1.85,2.02,2.17
Interest,0.0,0.0,2.61,3.15,2.62,2.88,3.13,3.07,1.75,1.35,1.32
Depreciation,0.0,0.0,6.49,5.56,4.06,3.34,2.74,2.4,2.16,2.31,2.30
Profit before tax,-0.14,0.08,0.05,0.05,0.28,0.05,0.18,0.29,0.43,-0.67,-1.39
Tax %,7.14,-25.0,40.0,0.0,-42.86,-100.0,-27.78,58.62,32.56,19.4,
Net Profit,-0.13,0.09,0.04,0.05,0.4,0.09,0.23,0.11,0.29,-0.54,-1.26
EPS in Rs,-2.6,0.36,0.02,0.03,0.24,0.05,0.14,0.07,0.17,-0.32,-0.75
