,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,170.0,187.0,245.0,276.0,267.0,301.0,339.0,394.0,437.0,479.0,631.0,730.0,696
Expenses,149.0,167.0,215.0,235.0,221.0,249.0,276.0,322.0,357.0,383.0,511.0,594.0,565
Operating Profit,21.0,20.0,30.0,40.0,46.0,52.0,64.0,72.0,80.0,96.0,121.0,136.0,131
OPM %,13.0,11.0,12.0,15.0,17.0,17.0,19.0,18.0,18.0,20.0,19.0,19.0,19
Other Income,0.0,-0.0,-1.0,1.0,0.0,2.0,1.0,-10.0,-2.0,-1.0,1.0,1.0,2
Interest,4.0,6.0,9.0,8.0,1.0,2.0,4.0,7.0,10.0,10.0,9.0,4.0,5
Depreciation,4.0,5.0,7.0,8.0,8.0,10.0,12.0,15.0,19.0,21.0,26.0,30.0,35
Profit before tax,13.0,9.0,14.0,25.0,37.0,41.0,49.0,40.0,49.0,64.0,87.0,103.0,94
Tax %,28.0,34.0,35.0,33.0,34.0,35.0,35.0,40.0,22.0,25.0,26.0,22.0,
Net Profit,9.0,6.0,9.0,17.0,24.0,27.0,32.0,24.0,38.0,48.0,64.0,80.0,74
EPS in Rs,4.09,2.51,3.94,5.98,8.55,9.54,11.24,8.55,13.49,17.31,20.37,24.25,22.24
