,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,TTM
Sales,8489.0,9749.0,9161.0,9955.0,9437.0,20094.0,23609.0,26041.0,27104.0,24516.0,28965.0,38937.0,32010
Expenses,6490.0,7276.0,7492.0,8022.0,7895.0,16913.0,19751.0,22030.0,22507.0,19511.0,22755.0,33815.0,26780
Operating Profit,1998.0,2473.0,1669.0,1934.0,1542.0,3181.0,3858.0,4011.0,4597.0,5006.0,6210.0,5122.0,5229
OPM %,24.0,25.0,18.0,19.0,16.0,16.0,16.0,15.0,17.0,20.0,21.0,13.0,16
Other Income,203.0,69.0,390.0,419.0,353.0,441.0,335.0,232.0,601.0,288.0,252.0,447.0,873
Interest,53.0,78.0,67.0,66.0,92.0,153.0,206.0,170.0,170.0,140.0,146.0,195.0,196
Depreciation,446.0,569.0,494.0,513.0,630.0,1461.0,1219.0,1154.0,1153.0,1162.0,1152.0,1645.0,1442
Profit before tax,1701.0,1896.0,1498.0,1774.0,1173.0,2008.0,2768.0,2919.0,3875.0,3992.0,5164.0,3729.0,4464
Tax %,28.0,32.0,15.0,16.0,31.0,29.0,30.0,-2.0,28.0,22.0,28.0,19.0,
Net Profit,1227.0,1292.0,1278.0,1487.0,808.0,1434.0,1945.0,2973.0,2783.0,3107.0,3711.0,3024.0,3374
EPS in Rs,8.0,8.39,8.27,9.59,5.21,5.57,7.64,10.97,10.55,11.91,14.0,13.01,13.99
