,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,7.91,13.19,4.47,8.05,18.01,22.84
Expenses,0.0,0.0,4.58,6.44,3.62,3.91,6.8,10.51
Operating Profit,0.0,0.0,3.33,6.75,0.85,4.14,11.21,12.33
OPM %,,,42.1,51.18,19.02,51.43,62.24,53.98
Other Income,0.0,0.0,0.0,0.0,0.0,0.01,0.02,-0.14
Interest,0.0,0.0,1.89,1.93,2.08,4.44,4.58,2.18
Depreciation,0.0,0.0,4.93,6.7,6.71,6.65,6.64,6.65
Profit before tax,0.0,0.0,-3.49,-1.88,-7.94,-6.94,0.01,3.36
Tax %,,,0.0,0.0,0.0,0.0,-3100.0,
Net Profit,0.0,0.0,-3.48,-1.88,-7.93,-6.94,0.31,4.00
EPS in Rs,0.0,0.0,-1.72,-0.93,-3.91,-2.79,0.12,1.61
