,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,918.0,933.0,880.0,867.0,796.0,545.0,669.0,713.0,703
Expenses,656.0,728.0,699.0,821.0,696.0,538.0,659.0,800.0,765
Operating Profit,262.0,206.0,181.0,46.0,99.0,7.0,10.0,-86.0,-63
OPM %,29.0,22.0,21.0,5.0,12.0,1.0,2.0,-12.0,-9
Other Income,33.0,92.0,92.0,88.0,109.0,117.0,76.0,78.0,108
Interest,11.0,16.0,11.0,18.0,9.0,9.0,9.0,17.0,15
Depreciation,22.0,20.0,20.0,21.0,31.0,30.0,30.0,31.0,30
Profit before tax,262.0,261.0,243.0,96.0,168.0,85.0,47.0,-56.0,1
Tax %,32.0,26.0,24.0,-13.0,29.0,14.0,9.0,28.0,
Net Profit,179.0,190.0,175.0,108.0,116.0,69.0,41.0,-38.0,11
EPS in Rs,24.35,25.82,23.88,14.77,15.79,9.43,5.51,-5.17,1.55
