,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,167.0,182.0,174.0,183.0,286.0,219.0,324.0,313.0,346.0,302.0,259.0,284.0,284
Expenses,137.0,146.0,149.0,153.0,239.0,198.0,292.0,273.0,301.0,272.0,242.0,264.0,260
Operating Profit,30.0,36.0,25.0,30.0,48.0,21.0,31.0,40.0,45.0,31.0,16.0,20.0,24
OPM %,18.0,20.0,15.0,16.0,17.0,10.0,10.0,13.0,13.0,10.0,6.0,7.0,8
Other Income,2.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,6.0,9.0,9
Interest,7.0,5.0,3.0,3.0,3.0,5.0,6.0,9.0,9.0,6.0,3.0,4.0,3
Depreciation,12.0,13.0,13.0,11.0,9.0,8.0,10.0,11.0,10.0,11.0,10.0,10.0,9
Profit before tax,13.0,21.0,11.0,17.0,37.0,9.0,19.0,21.0,26.0,16.0,9.0,16.0,20
Tax %,27.0,23.0,33.0,28.0,36.0,26.0,12.0,22.0,22.0,29.0,21.0,21.0,
Net Profit,9.0,16.0,7.0,12.0,24.0,7.0,17.0,16.0,21.0,11.0,7.0,13.0,16
EPS in Rs,0.76,1.33,0.59,1.03,1.97,0.59,1.42,1.35,1.72,0.95,0.59,1.06,1.33
