,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.21,0.15,0.28,1.71,0.25,0.75,0.63,0.04,0.3,0.3,0.55,0.53,0.64
Expenses,0.52,16.16,0.57,1.38,0.68,0.65,0.39,0.46,0.34,0.34,0.35,0.32,0.38
Operating Profit,-0.31,-16.01,-0.29,0.33,-0.43,0.1,0.24,-0.42,-0.04,-0.04,0.2,0.21,0.26
OPM %,-147.62,-10673.33,-103.57,19.3,-172.0,13.33,38.1,-1050.0,-13.33,-13.33,36.36,39.62,40.62
Other Income,0.24,0.15,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.00
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,-0.08,-15.87,-0.3,0.31,-0.43,0.1,0.24,-0.39,-0.01,-0.04,0.2,0.21,0.26
Tax %,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-0.08,-15.86,-0.3,0.32,-0.43,0.1,0.24,-0.39,-0.01,-0.04,0.2,0.21,0.25
EPS in Rs,-0.07,-14.34,-0.27,0.29,-0.39,0.09,0.22,-0.35,-0.01,-0.04,0.18,0.19,0.23
