,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.0,13.0,22.0,22.0,27.0,31.0,36.0,62.0,66.0,85.0,100.0,112
Expenses,6.0,10.0,17.0,18.0,23.0,25.0,30.0,55.0,58.0,67.0,75.0,83
Operating Profit,2.0,3.0,5.0,4.0,5.0,7.0,6.0,7.0,8.0,18.0,26.0,29
OPM %,27.0,23.0,22.0,18.0,17.0,22.0,15.0,12.0,12.0,21.0,26.0,26
Other Income,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Interest,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,8.0,10
Depreciation,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,10.0,16.0,17
Profit before tax,0.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,4
Tax %,31.0,31.0,31.0,22.0,32.0,27.0,26.0,25.0,9.0,14.0,35.0,
Net Profit,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2
EPS in Rs,4.12,5.38,7.33,8.44,8.78,2.68,1.46,2.32,2.83,1.89,1.79,2.12
