,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,817.0,1180.0,1415.0,1568.0,1280.0,1813.0,2202.0,2148
Expenses,742.0,1073.0,1240.0,1402.0,1189.0,1690.0,2016.0,1993
Operating Profit,75.0,107.0,175.0,166.0,91.0,123.0,185.0,155
OPM %,9.0,9.0,12.0,11.0,7.0,7.0,8.0,7
Other Income,52.0,52.0,79.0,81.0,88.0,78.0,86.0,93
Interest,44.0,53.0,62.0,77.0,63.0,78.0,97.0,95
Depreciation,19.0,21.0,21.0,23.0,26.0,24.0,22.0,22
Profit before tax,65.0,84.0,170.0,147.0,90.0,99.0,152.0,131
Tax %,-9.0,2.0,20.0,39.0,25.0,24.0,22.0,
Net Profit,70.0,83.0,136.0,90.0,67.0,75.0,118.0,101
EPS in Rs,20.32,23.84,39.16,25.96,19.38,21.6,34.05,29.16
