,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1096.0,1013.0,1218.0,1351.0,1497.0,2047.0,2474.0,1905.0,2662.0,2628.0,2491
Expenses,816.0,664.0,871.0,1005.0,1071.0,1469.0,1811.0,1353.0,1933.0,1869.0,1807
Operating Profit,280.0,348.0,347.0,347.0,427.0,578.0,663.0,552.0,729.0,759.0,683
OPM %,26.0,34.0,29.0,26.0,28.0,28.0,27.0,29.0,27.0,29.0,27
Other Income,127.0,147.0,208.0,210.0,154.0,200.0,268.0,101.0,84.0,103.0,92
Interest,2.0,2.0,1.0,14.0,25.0,10.0,10.0,9.0,13.0,21.0,7
Depreciation,20.0,26.0,37.0,38.0,36.0,38.0,47.0,52.0,66.0,67.0,65
Profit before tax,385.0,468.0,518.0,505.0,519.0,730.0,874.0,593.0,735.0,774.0,703
Tax %,32.0,33.0,34.0,33.0,31.0,33.0,28.0,25.0,27.0,26.0,
Net Profit,261.0,312.0,340.0,337.0,357.0,490.0,633.0,444.0,539.0,571.0,516
EPS in Rs,20.84,24.98,27.09,13.14,13.7,18.78,24.64,17.99,21.49,22.56,20.02
