,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,196.0,402.0,787.0,1050.0,1254.0,1521.0,1822
Expenses,64.0,107.0,210.0,237.0,337.0,439.0,533
Operating Profit,133.0,294.0,577.0,813.0,917.0,1082.0,1289
OPM %,68.0,73.0,73.0,77.0,73.0,71.0,71
Other Income,1.0,1.0,1.0,1.0,2.0,8.0,12
Interest,55.0,73.0,218.0,327.0,302.0,268.0,343
Depreciation,3.0,4.0,10.0,11.0,12.0,17.0,20
Profit before tax,76.0,218.0,349.0,476.0,604.0,805.0,939
Tax %,28.0,28.0,25.0,25.0,25.0,25.0,
Net Profit,54.0,156.0,262.0,359.0,454.0,604.0,703
EPS in Rs,28.3,65.4,103.8,142.26,15.57,20.71,24.12
