,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,988.0,870.0,1209.0,2044.0,1648.0,1717.0,1889.0,2133.0,2170.0,2117.0,2297.0,2238.0,2304
Expenses,922.0,807.0,1107.0,1783.0,1417.0,1439.0,1526.0,1650.0,1642.0,1610.0,1862.0,1989.0,2036
Operating Profit,66.0,63.0,102.0,261.0,231.0,279.0,363.0,483.0,528.0,507.0,435.0,249.0,269
OPM %,7.0,7.0,8.0,13.0,14.0,16.0,19.0,23.0,24.0,24.0,19.0,11.0,12
Other Income,12.0,16.0,12.0,135.0,22.0,24.0,20.0,35.0,53.0,46.0,49.0,45.0,52
Interest,4.0,10.0,106.0,139.0,108.0,90.0,74.0,75.0,74.0,51.0,36.0,46.0,35
Depreciation,31.0,24.0,89.0,138.0,100.0,99.0,101.0,102.0,109.0,111.0,112.0,112.0,110
Profit before tax,42.0,46.0,-81.0,120.0,45.0,114.0,208.0,342.0,398.0,391.0,335.0,136.0,175
Tax %,31.0,32.0,50.0,50.0,22.0,33.0,36.0,35.0,33.0,20.0,25.0,27.0,
Net Profit,29.0,31.0,-41.0,60.0,35.0,76.0,133.0,221.0,268.0,315.0,252.0,99.0,129
EPS in Rs,1.29,1.36,-1.8,2.63,1.56,3.36,5.88,9.74,11.83,13.9,11.13,4.38,5.68
