,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1727.0,2333.0,2570.0,1814.0,1290.0,1161.0,1006.0,677.0,321.0,263.0,136.0,97.0
Expenses,1452.0,1968.0,2121.0,1453.0,1050.0,989.0,1021.0,678.0,359.0,293.0,140.0,111.0
Operating Profit,275.0,364.0,450.0,361.0,239.0,172.0,-15.0,-1.0,-38.0,-30.0,-4.0,-14.0
OPM %,16.0,16.0,18.0,20.0,19.0,15.0,-2.0,-0.0,-12.0,-11.0,-3.0,-15.0
Other Income,4.0,5.0,8.0,8.0,-12.0,-119.0,-370.0,-737.0,-70.0,-105.0,-50.0,-61.0
Interest,124.0,166.0,244.0,297.0,337.0,389.0,476.0,601.0,631.0,745.0,841.0,1103.0
Depreciation,36.0,53.0,77.0,77.0,42.0,36.0,67.0,98.0,92.0,30.0,25.0,23.0
Profit before tax,118.0,151.0,137.0,-5.0,-151.0,-370.0,-928.0,-1437.0,-831.0,-910.0,-920.0,-1202.0
Tax %,31.0,35.0,43.0,-359.0,-6.0,4.0,-5.0,-0.0,-0.0,-0.0,-0.0,-0.0
Net Profit,81.0,98.0,78.0,-22.0,-160.0,-355.0,-974.0,-1440.0,-831.0,-910.0,-920.0,-1202.0
EPS in Rs,47.26,59.83,39.4,-5.49,-58.32,-132.46,-371.28,-553.81,-316.25,-339.95,-352.43,-450.53
