,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,30.0,26.0,40.0,46.0,50.0,53.0,74.0,98.0,71.0,73.0,119.0,201.0,191
Expenses,29.0,25.0,39.0,43.0,49.0,51.0,72.0,96.0,70.0,69.0,111.0,197.0,183
Operating Profit,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,4.0,8.0,4.0,8
OPM %,3.0,2.0,2.0,5.0,1.0,4.0,3.0,2.0,2.0,5.0,7.0,2.0,4
Other Income,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,6.0,7
Interest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,1.0,1.0,1.0,2.0,1.0,3.0,3.0,4.0,3.0,6.0,11.0,9.0,13
Tax %,31.0,31.0,30.0,35.0,33.0,33.0,33.0,27.0,25.0,32.0,31.0,29.0,
Net Profit,1.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,7.0,7.0,10
EPS in Rs,1.38,1.05,1.18,3.72,2.05,5.05,6.0,6.74,4.97,10.38,18.79,17.05,26.69
