,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51
Reserves,5.25,5.44,5.68,5.57,4.6,4.89,2.63,3.11,3.36,3.56,4.89,6.87
Borrowings,0.47,0.59,0.53,2.9,0.89,0.76,2.0,1.13,1.24,0.4,4.74,0.91
Other Liabilities,1.48,1.19,1.38,2.35,5.5,5.79,10.66,14.81,11.44,11.2,10.24,20.53
Total Liabilities,17.71,17.73,18.1,21.33,21.5,21.95,25.8,29.56,26.55,25.67,30.38,38.82
Fixed Assets,9.22,9.26,8.93,8.58,9.99,9.7,9.42,9.11,8.94,8.94,8.97,8.98
CWIP,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,8.49,8.42,9.17,12.75,11.51,12.25,16.38,20.45,17.61,16.73,21.41,29.84
Total Assets,17.71,17.73,18.1,21.33,21.5,21.95,25.8,29.56,26.55,25.67,30.38,38.82
