,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,74.18,43.36,4.64,0.00,0.00,0.00,0.95,1.45,1.18,1.46,10.86,2.76,2.75
Expenses,165.83,67.23,30.85,6.17,-7.96,-1.73,0.41,0.79,1.26,0.9,3.43,1.56,2.33
Operating Profit,-91.65,-23.87,-26.21,-6.17,7.96,1.73,0.54,0.66,-0.08,0.56,7.43,1.2,0.42
OPM %,-123.55,-55.05,-564.87,,,,56.84,45.52,-6.78,38.36,68.42,43.48,15.27
Other Income,29.39,32.26,23.9,2.64,-2.13,0.02,0.0,-0.67,0.17,0.0,0.0,0.0,0.00
Interest,9.62,8.81,9.68,9.03,7.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,5.23,2.28,2.44,2.54,0.00,0.00,0.0,0.0,0.0,0.3,1.11,0.9,0.78
Profit before tax,-77.11,-2.7,-14.43,-15.10,-1.17,1.75,0.54,-0.01,0.09,0.26,6.32,0.3,-0.36
Tax %,2.63,-2.22,-0.35,0.00,0.00,0.00,18.52,-2000.0,22.22,26.92,27.85,26.67,
Net Profit,-75.08,-2.75,-14.48,-15.10,-1.17,1.75,0.44,-0.21,0.06,0.19,4.55,0.22,-0.20
EPS in Rs,-62.72,-2.22,-11.71,-12.21,-0.95,1.42,0.36,-0.17,0.05,0.12,2.94,0.14,-0.12
