,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,1206.0,2200,1971.0,1594.0,1501.0,1726.0,2115.0,2912.0,3463.0,3439.0,3901.0,3102.0,1369
Expenses,988.0,1886,1566.0,1195.0,1157.0,1519.0,1807.0,2471.0,2936.0,3080.0,3465.0,3512.0,2268
Operating Profit,218.0,313,405.0,399.0,344.0,207.0,308.0,441.0,527.0,359.0,435.0,-409.0,-899
OPM %,18.0,14,21.0,25.0,23.0,12.0,15.0,15.0,15.0,10.0,11.0,-13.0,-66
Other Income,10.0,5,9.0,-62.0,6.0,20.0,15.0,-136.0,8.0,5.0,8.0,-137.0,-97
Interest,117.0,221,270.0,269.0,265.0,186.0,257.0,275.0,284.0,337.0,321.0,338.0,400
Depreciation,62.0,82,112.0,111.0,120.0,44.0,43.0,55.0,66.0,91.0,84.0,76.0,60
Profit before tax,48.0,15,32.0,-43.0,-35.0,-3.0,23.0,-25.0,185.0,-64.0,38.0,-961.0,-1456
Tax %,64.0,153,122.0,-81.0,-34.0,-456.0,101.0,22.0,13.0,9.0,-14.0,0.0,
Net Profit,18.0,-8,-7.0,-78.0,-48.0,-27.0,-0.0,-20.0,160.0,-58.0,43.0,-958.0,-1455
EPS in Rs,2.84,,0.63,-4.3,-2.1,-1.53,-0.02,-1.04,8.55,-3.1,2.3,-51.19,-77.73
