,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.05,1.03,0.95,0.82,0.81,2.06,0.72,0.78,1.19,0.91,0.92,1.12,1.58
Expenses,0.84,0.98,1.07,1.07,0.7,1.85,0.55,0.58,0.79,0.48,0.73,0.76,1.66
Operating Profit,0.21,0.05,-0.12,-0.25,0.11,0.21,0.17,0.2,0.4,0.43,0.19,0.36,-0.08
OPM %,20.0,4.85,-12.63,-30.49,13.58,10.19,23.61,25.64,33.61,47.25,20.65,32.14,-5.06
Other Income,0.01,0.0,0.14,0.3,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.00
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.23,0.21,0.06,0.2,0.37
Depreciation,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.22,0.05,0.01,0.04,0.18,0.2,0.16,0.18,0.17,0.22,0.13,0.17,-0.45
Tax %,31.82,40.0,100.0,50.0,22.22,30.0,31.25,27.78,23.53,27.27,0.0,0.0,
Net Profit,0.14,0.02,0.0,0.02,0.15,0.14,0.12,0.13,0.12,0.16,0.13,0.17,-0.47
EPS in Rs,0.12,0.02,0.0,0.02,0.13,0.12,0.1,0.11,0.1,0.14,0.11,0.15,-0.40
