,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,1,2,2,2,2,10,10,10,10.0
Reserves,0,0,1,2,5,17,23,28,35,30,37,55,68.0
Preference Capital,0,0,0,0,0,0,0,0,0,0,0,0,
Borrowings,0,0,0,1,3,0,0,0,0,0,0,0,0.0
Other Liabilities,0,0,1,1,2,3,4,4,4,4,6,8,9.0
Total Liabilities,0,1,2,4,10,23,29,35,41,44,52,74,87.0
Fixed Assets,0,0,1,1,4,1,3,4,3,1,16,13,12.0
CWIP,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Investments,0,0,0,0,0,0,0,5,5,0,0,20,25.0
Other Assets,0,1,1,3,6,20,26,26,34,42,36,41,50.0
Total Assets,0,1,2,4,10,23,29,35,41,44,52,74,87.0
