,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,711.0,829.0,904.0,973.0,1015.0,1093.0,1120.0,1149.0,975.0,1313.0,1475.0,1143.0,1140
Expenses,621.0,706.0,774.0,835.0,883.0,954.0,965.0,998.0,861.0,1055.0,1207.0,1054.0,1055
Operating Profit,90.0,123.0,130.0,138.0,132.0,139.0,155.0,151.0,114.0,257.0,269.0,89.0,85
OPM %,13.0,15.0,14.0,14.0,13.0,13.0,14.0,13.0,12.0,20.0,18.0,8.0,7
Other Income,1.0,1.0,7.0,5.0,4.0,3.0,2.0,2.0,7.0,7.0,11.0,16.0,15
Interest,22.0,21.0,25.0,24.0,19.0,11.0,8.0,19.0,19.0,13.0,19.0,23.0,21
Depreciation,6.0,7.0,11.0,15.0,15.0,16.0,16.0,15.0,19.0,14.0,14.0,13.0,14
Profit before tax,63.0,96.0,102.0,104.0,102.0,115.0,134.0,119.0,84.0,237.0,247.0,69.0,65
Tax %,31.0,33.0,35.0,35.0,35.0,37.0,36.0,38.0,26.0,26.0,22.0,22.0,
Net Profit,44.0,65.0,66.0,68.0,66.0,72.0,86.0,74.0,62.0,175.0,192.0,54.0,49
EPS in Rs,5.48,8.15,8.31,8.57,8.29,9.09,10.84,9.33,7.78,22.04,24.12,6.76,6.18
