,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,TTM
Sales,10153.0,11275.0,11062.0,11646.0,11706.0,10990.0,13285.0,14802.0,15658.0,13786.0,16152.0,22210.0,18964
Expenses,8232.0,9078.0,9416.0,10116.0,10123.0,9532.0,11370.0,12754.0,13245.0,11431.0,13154.0,20285.0,16796
Operating Profit,1921.0,2197.0,1646.0,1529.0,1583.0,1458.0,1915.0,2048.0,2413.0,2355.0,2998.0,1925.0,2168
OPM %,19.0,19.0,15.0,13.0,14.0,13.0,14.0,14.0,15.0,17.0,19.0,9.0,11
Other Income,191.0,-72.0,265.0,241.0,-90.0,115.0,137.0,153.0,332.0,50.0,164.0,196.0,311
Interest,97.0,115.0,114.0,83.0,65.0,79.0,99.0,88.0,86.0,57.0,55.0,77.0,88
Depreciation,510.0,569.0,584.0,568.0,663.0,609.0,644.0,603.0,606.0,639.0,601.0,841.0,762
Profit before tax,1505.0,1441.0,1214.0,1120.0,766.0,885.0,1310.0,1510.0,2053.0,1709.0,2506.0,1203.0,1629
Tax %,14.0,27.0,11.0,-3.0,25.0,26.0,29.0,-1.0,33.0,16.0,26.0,26.0,
Net Profit,1301.0,1059.0,1095.0,1162.0,587.0,658.0,925.0,1521.0,1378.0,1430.0,1863.0,885.0,1203
EPS in Rs,69.29,56.42,58.31,61.88,31.3,35.06,49.23,80.97,73.35,76.16,99.21,47.13,64.05
