,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,3.68,2.83,2.46,4.23,4.6,3.92,6.27,3.53,5.32
Expenses,3.5,2.36,2.53,3.84,4.13,3.72,5.9,3.26,5.84
Operating Profit,0.18,0.47,-0.07,0.39,0.47,0.2,0.37,0.27,-0.52
OPM %,4.89,16.61,-2.85,9.22,10.22,5.1,5.9,7.65,-9.77
Other Income,0.01,0.37,0.13,0.14,0.09,0.06,0.08,0.1,0.05
Interest,0.09,0.11,0.08,0.08,0.06,0.07,0.06,0.07,0.09
Depreciation,0.09,0.09,0.07,0.07,0.05,0.07,0.04,0.05,0.04
Profit before tax,0.01,0.64,-0.09,0.38,0.45,0.12,0.35,0.25,-0.6
Tax %,0.0,28.12,0.0,21.05,24.44,33.33,25.71,24.0,-3.33
Net Profit,0.01,0.47,-0.09,0.31,0.33,0.09,0.25,0.2,-0.62
EPS in Rs,0.04,1.74,-0.33,1.15,1.22,0.33,0.93,0.74,-2.3
