,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,448.0,666.0,1243.0,1677.0,2222.0,2332.0,2594
Expenses,40.0,109.0,53.0,252.0,209.0,230.0,326
Operating Profit,408.0,557.0,1190.0,1425.0,2013.0,2101.0,2268
OPM %,91.0,84.0,96.0,85.0,91.0,90.0,87
Other Income,13.0,8.0,36.0,35.0,52.0,82.0,13
Interest,101.0,230.0,415.0,687.0,1050.0,1011.0,1109
Depreciation,116.0,181.0,310.0,430.0,665.0,704.0,769
Profit before tax,204.0,155.0,500.0,342.0,349.0,469.0,403
Tax %,-3.0,0.0,-1.0,2.0,2.0,1.0,
Net Profit,210.0,154.0,506.0,334.0,343.0,466.0,403
EPS in Rs,6.18,4.52,7.22,4.77,4.98,6.51,5.59
