,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.31,0.28,0.28,0.35,0.34,0.51,3.05,0.77,0.41,0.58,0.75,0.45,0.69
Expenses,0.27,0.22,0.18,0.24,0.25,0.39,2.94,0.72,0.47,0.45,0.57,0.29,0.60
Operating Profit,0.04,0.06,0.1,0.11,0.09,0.12,0.11,0.05,-0.06,0.13,0.18,0.16,0.09
OPM %,12.9,21.43,35.71,31.43,26.47,23.53,3.61,6.49,-14.63,22.41,24.0,35.56,13.04
Other Income,-0.02,-0.02,-0.01,-0.01,0.0,-0.01,0.0,0.03,-0.01,-0.01,-0.04,0.0,0.08
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.01,0.02,0.02,0.05,0.05,0.04,0.03,0.02,0.02,0.01,0.01,0.04,0.03
Profit before tax,0.01,0.02,0.07,0.05,0.04,0.07,0.08,0.06,-0.09,0.11,0.13,0.12,0.14
Tax %,0.0,50.0,14.29,20.0,25.0,14.29,25.0,16.67,0.0,0.0,30.77,25.0,
Net Profit,0.0,0.02,0.05,0.04,0.03,0.06,0.06,0.04,-0.09,0.1,0.09,0.09,0.09
EPS in Rs,0.0,0.05,0.12,0.09,0.07,0.14,0.14,0.09,-0.21,0.23,0.21,0.21,0.21
