,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,1.19,2.0,2.97,2.77,2.25,1.05,11.29,20.85,18.75,27.99,15.21,27.85
Expenses,0.0,1.06,1.62,1.9,2.09,1.89,1.75,9.29,17.61,23.37,23.82,15.52,24.45
Operating Profit,0.0,0.13,0.38,1.07,0.68,0.36,-0.7,2.0,3.24,-4.62,4.17,-0.31,3.40
OPM %,,10.92,19.0,36.03,24.55,16.0,-66.67,17.71,15.54,-24.64,14.9,-2.04,12.21
Other Income,0.0,0.01,0.0,0.0,0.0,0.0,-0.08,0.0,0.02,-0.08,0.04,0.06,0.00
Interest,0.0,0.02,0.16,0.14,0.11,0.16,0.19,0.45,0.78,1.61,2.82,3.09,3.31
Depreciation,0.0,0.04,0.08,0.14,0.13,0.13,0.15,0.31,0.39,0.46,0.91,1.1,1.11
Profit before tax,0.0,0.08,0.14,0.79,0.44,0.07,-1.12,1.24,2.09,-6.77,0.48,-4.44,-1.02
Tax %,,75.0,42.86,26.58,31.82,28.57,-0.89,18.55,19.14,1.48,52.08,-6.53,
Net Profit,0.0,0.03,0.08,0.58,0.3,0.05,-1.13,1.01,1.7,-6.67,0.23,-4.73,-1.22
EPS in Rs,0.0,0.25,0.14,1.01,0.52,0.09,-1.96,1.76,2.96,-11.6,0.4,-8.22,-2.12
