,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,9.31,10.08,10.78,6.4,12.35,14.7,13.32,4.89,10.37,17.48
Expenses,7.76,9.02,8.58,6.58,16.8,14.27,9.54,5.98,9.53,14.92
Operating Profit,1.55,1.06,2.2,-0.18,-4.45,0.43,3.78,-1.09,0.84,2.56
OPM %,16.65,10.52,20.41,-2.81,-36.03,2.93,28.38,-22.29,8.1,14.65
Other Income,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.0
Interest,0.22,0.24,0.54,0.6,1.01,1.48,1.34,1.56,1.53,1.78
Depreciation,0.18,0.19,0.2,0.2,0.26,0.43,0.47,0.58,0.52,0.59
Profit before tax,1.15,0.63,1.46,-0.98,-5.8,-1.48,1.97,-3.23,-1.21,0.19
Tax %,16.52,25.4,16.44,-4.08,2.41,-5.41,9.14,-4.64,-10.74,36.84
Net Profit,0.96,0.47,1.23,-1.02,-5.65,-1.56,1.79,-3.38,-1.34,0.12
EPS in Rs,1.67,0.82,2.14,-1.77,-9.82,-2.71,3.11,-5.88,-2.33,0.21
