,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,20.0,161.0,204.0,174.0,212.0,253.0,427.0,539
Expenses,18.0,154.0,193.0,164.0,210.0,245.0,319.0,394
Operating Profit,2.0,7.0,10.0,11.0,2.0,7.0,108.0,145
OPM %,8.0,5.0,5.0,6.0,1.0,3.0,25.0,27
Other Income,0.0,-0.0,0.0,1.0,2.0,30.0,19.0,5
Interest,0.0,0.0,1.0,1.0,1.0,2.0,12.0,18
Depreciation,0.0,0.0,0.0,1.0,1.0,3.0,21.0,29
Profit before tax,1.0,7.0,9.0,9.0,1.0,33.0,94.0,103
Tax %,39.0,36.0,17.0,24.0,-48.0,10.0,21.0,
Net Profit,1.0,4.0,8.0,7.0,2.0,29.0,74.0,76
EPS in Rs,0.09,0.44,0.78,0.59,0.18,2.93,6.32,6.63
