,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9,9,9,9,9,9,9,9,9,9,9,9
Reserves,33,34,36,35,36,78,94,108,144,216,250,270
Borrowings,58,62,57,49,41,26,20,47,58,41,54,50
Other Liabilities,6,3,4,3,3,10,12,51,14,10,63,44
Total Liabilities,106,108,106,96,89,123,135,215,226,277,377,372
Fixed Assets,5,4,4,4,4,7,8,8,42,42,38,41
CWIP,0,0,0,0,0,0,0,29,0,0,0,0
Investments,19,19,21,20,20,57,72,86,115,187,228,246
Other Assets,82,85,81,72,66,59,55,92,68,48,110,85
Total Assets,106,108,106,96,89,123,135,215,226,277,377,372
