,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,130.0,107.0,71.0,68.0,75.0,101.0,157.0,175.0,214.0,171.0,524.0,627
Expenses,123.0,100.0,67.0,67.0,70.0,96.0,152.0,171.0,205.0,162.0,513.0,618
Operating Profit,7.0,7.0,5.0,1.0,4.0,4.0,5.0,3.0,9.0,9.0,11.0,9
OPM %,5.0,6.0,6.0,1.0,6.0,4.0,3.0,2.0,4.0,5.0,2.0,1
Other Income,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1
Interest,4.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,2
Depreciation,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,3
Profit before tax,2.0,2.0,2.0,-1.0,1.0,2.0,1.0,1.0,3.0,7.0,7.0,5
Tax %,32.0,33.0,20.0,0.0,22.0,28.0,-1.0,33.0,24.0,45.0,20.0,
Net Profit,1.0,1.0,2.0,-1.0,1.0,9.0,20.0,14.0,31.0,72.0,34.0,29
EPS in Rs,1.56,1.36,2.11,-1.4,1.06,10.08,21.72,15.53,34.21,80.08,37.97,32.19
