,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6770.0,7909.0,9299.0,10279.0,12036.0,11122.0,4374.0,5844.0,6863.0,7099
Expenses,6206.0,7341.0,8716.0,9398.0,10978.0,10306.0,4036.0,5484.0,6316.0,6431
Operating Profit,564.0,568.0,582.0,881.0,1059.0,816.0,338.0,360.0,547.0,668
OPM %,8.0,7.0,6.0,9.0,9.0,7.0,8.0,6.0,8.0,9
Other Income,229.0,73.0,172.0,108.0,122.0,94.0,-556.0,-996.0,-793.0,45
Interest,475.0,-43.0,90.0,86.0,97.0,139.0,89.0,118.0,190.0,203
Depreciation,254.0,292.0,337.0,386.0,566.0,732.0,274.0,305.0,337.0,339
Profit before tax,63.0,392.0,327.0,516.0,519.0,39.0,-581.0,-1059.0,-773.0,171
Tax %,73.0,6.0,4.0,13.0,17.0,94.0,-8.0,-5.0,-6.0,
Net Profit,17.0,370.0,313.0,451.0,429.0,3.0,-629.0,-1107.0,-817.0,152
EPS in Rs,16.06,353.36,254.29,36.57,31.54,0.01,-41.36,-72.64,-53.66,9.59
