,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1059.0,1567.0,2709.0,4445.0,3405.0,465.0,1436.0,760.0,711.0,625.0,737.0,1131
Expenses,862.0,1391.0,2284.0,3711.0,2863.0,548.0,1287.0,877.0,902.0,925.0,998.0,1263
Operating Profit,196.0,176.0,425.0,734.0,542.0,-83.0,149.0,-116.0,-191.0,-300.0,-261.0,-132
OPM %,19.0,11.0,16.0,17.0,16.0,-18.0,10.0,-15.0,-27.0,-48.0,-35.0,-12
Other Income,5.0,9.0,47.0,48.0,84.0,26.0,23.0,11.0,76.0,19.0,19.0,26
Interest,39.0,46.0,62.0,98.0,155.0,171.0,169.0,244.0,255.0,283.0,341.0,292
Depreciation,9.0,12.0,20.0,35.0,44.0,52.0,66.0,80.0,88.0,89.0,106.0,107
Profit before tax,154.0,128.0,389.0,649.0,427.0,-280.0,-62.0,-430.0,-459.0,-653.0,-689.0,-505
Tax %,2.0,-4.0,24.0,29.0,29.0,33.0,36.0,35.0,33.0,26.0,3.0,
Net Profit,150.0,132.0,296.0,461.0,303.0,-188.0,-40.0,-279.0,-307.0,-483.0,-671.0,-499
EPS in Rs,37.58,6.61,13.36,20.78,13.67,-8.45,-1.78,-12.6,-13.77,-21.64,-20.46,-16.67
