,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,88.0,103.0,132.0,138.0,135.0,206.0,312.0,336
Expenses,78.0,90.0,118.0,124.0,124.0,192.0,280.0,301
Operating Profit,10.0,13.0,14.0,13.0,10.0,14.0,32.0,35
OPM %,11.0,12.0,10.0,10.0,8.0,7.0,10.0,10
Other Income,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
Interest,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2
Depreciation,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4
Profit before tax,7.0,10.0,11.0,7.0,5.0,10.0,28.0,31
Tax %,32.0,32.0,29.0,27.0,32.0,25.0,26.0,
Net Profit,5.0,7.0,7.0,5.0,4.0,7.0,21.0,23
EPS in Rs,6.95,4.23,4.77,3.22,2.3,4.66,13.18,14.53
