,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,252.0,259.0,309.0,354.0,393.0,350.0,283.0,314.0,369.0,377.0,383
Expenses,229.0,254.0,291.0,323.0,357.0,337.0,278.0,285.0,339.0,348.0,351
Operating Profit,23.0,5.0,17.0,31.0,36.0,13.0,6.0,29.0,30.0,29.0,32
OPM %,9.0,2.0,6.0,9.0,9.0,4.0,2.0,9.0,8.0,8.0,8
Other Income,6.0,5.0,6.0,11.0,15.0,20.0,-12.0,1.0,3.0,7.0,7
Interest,2.0,3.0,3.0,9.0,13.0,13.0,11.0,11.0,11.0,11.0,12
Depreciation,3.0,6.0,5.0,14.0,16.0,14.0,14.0,14.0,14.0,14.0,14
Profit before tax,24.0,1.0,15.0,19.0,22.0,5.0,-32.0,6.0,7.0,11.0,13
Tax %,29.0,326.0,78.0,48.0,45.0,157.0,77.0,-86.0,69.0,58.0,
Net Profit,17.0,-2.0,3.0,10.0,12.0,-3.0,-8.0,11.0,2.0,5.0,7
EPS in Rs,2.61,-0.33,0.5,1.53,1.86,-0.47,-1.13,1.67,0.35,0.72,1.07
