,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,45.44,39.73,43.6,44.34,49.37,42.08,45.38,50.89,45.97,46.35
Expenses,41.6,36.08,42.38,45.47,46.03,42.93,41.68,50.08,43.01,45.38
Operating Profit,3.84,3.65,1.22,-1.13,3.34,-0.85,3.7,0.81,2.96,0.97
OPM %,8.45,9.19,2.8,-2.55,6.77,-2.02,8.15,1.59,6.44,2.09
Other Income,0.04,0.07,-1.85,0.08,-0.01,0.03,0.12,0.89,-0.05,0.84
Interest,0.4,0.35,0.36,0.4,-0.05,0.44,0.43,0.37,0.4,0.39
Depreciation,0.73,0.75,1.12,0.94,0.95,0.95,0.99,1.0,1.27,1.21
Profit before tax,2.75,2.62,-2.11,-2.39,2.43,-2.21,2.4,0.33,1.24,0.21
Tax %,23.27,24.43,23.7,-0.42,0.41,0.0,3.33,15.15,24.19,23.81
Net Profit,2.12,1.98,-1.61,-2.4,2.42,-2.21,2.32,0.28,0.94,0.16
EPS in Rs,1.45,1.35,-1.1,-1.64,1.65,-1.51,1.59,0.19,0.64,0.11
