,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,224.0,281.0,370.0,407.0,391.0,162.0,136.0,128.0,122.0,78.0,65.0,51.0,42
Expenses,130.0,143.0,205.0,238.0,284.0,206.0,195.0,196.0,97.0,86.0,62.0,64.0,55
Operating Profit,94.0,138.0,164.0,168.0,107.0,-44.0,-59.0,-69.0,25.0,-8.0,3.0,-13.0,-13
OPM %,42.0,49.0,44.0,41.0,27.0,-27.0,-43.0,-54.0,20.0,-10.0,5.0,-26.0,-31
Other Income,7.0,5.0,4.0,9.0,1.0,16.0,-78.0,-487.0,71.0,391.0,-15.0,437.0,463
Interest,33.0,37.0,54.0,54.0,62.0,69.0,65.0,81.0,74.0,23.0,24.0,9.0,2
Depreciation,44.0,45.0,67.0,66.0,71.0,68.0,61.0,59.0,31.0,30.0,35.0,31.0,22
Profit before tax,24.0,61.0,47.0,57.0,-25.0,-165.0,-263.0,-696.0,-9.0,330.0,-71.0,384.0,426
Tax %,2.0,14.0,2.0,3.0,-1.0,-0.0,0.0,-0.0,21.0,0.0,-0.0,0.0,
Net Profit,24.0,53.0,46.0,55.0,-25.0,-165.0,-262.0,-696.0,-7.0,329.0,-71.0,383.0,425
EPS in Rs,9.81,21.04,15.44,17.95,-4.55,-46.17,-77.89,-199.69,-14.08,88.2,-25.16,127.65,144.23
