,Jun 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.97,6.46,1.97,2.84,12.79,20.83,-0.04,0.00,0.00,0.4,0.00,1.12,1.12
Expenses,6.99,6.49,1.9,2.8,12.78,20.83,1.98,0.11,0.09,0.41,0.66,0.38,0.46
Operating Profit,-0.02,-0.03,0.07,0.04,0.01,0.0,-2.02,-0.11,-0.09,-0.01,-0.66,0.74,0.66
OPM %,-0.29,-0.46,3.55,1.41,0.08,0.0,,,,-2.5,,66.07,58.93
Other Income,0.06,0.09,0.0,0.0,0.0,0.02,0.04,0.02,0.02,0.02,0.00,0.01,0.01
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.0,0.00
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.03,0.09
Profit before tax,0.04,0.06,0.07,0.04,0.01,0.02,-1.98,-0.09,-0.07,0.01,-0.66,0.72,0.58
Tax %,25.0,33.33,28.57,25.0,0.0,50.0,0.00,0.00,0.00,0.0,0.00,0.0,
Net Profit,0.03,0.05,0.05,0.02,0.0,0.01,-1.98,-0.09,-0.07,0.01,-0.66,0.72,0.58
EPS in Rs,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.00,-0.00,0.0,-0.01,0.04,0.02
