,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.03,0.09,0.02,0.37,5.95,0.45,8.94,3.97,3.67,12.46,10.02,2.75
Expenses,0.14,0.13,0.25,0.32,5.79,0.37,8.87,3.98,3.66,12.48,10.26,2.90
Operating Profit,-0.11,-0.04,-0.23,0.05,0.16,0.08,0.07,-0.01,0.01,-0.02,-0.24,-0.15
OPM %,-366.67,-44.44,-1150.00,13.51,2.69,17.78,0.78,-0.25,0.27,-0.16,-2.4,-5.45
Other Income,-2.14,-2.22,0.34,0.04,0.04,0.04,0.04,0.04,0.03,0.06,0.29,0.25
Interest,0.00,0.00,0.00,0.00,0.01,0.01,0.0,0.01,0.02,0.02,0.03,0.04
Depreciation,0.07,0.06,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.00
Profit before tax,-2.32,-2.32,0.08,0.06,0.17,0.09,0.09,0.00,0.00,0.01,0.01,0.06
Tax %,0.00,0.00,0.00,16.67,5.88,44.44,22.22,,,0.0,0.0,
Net Profit,-2.32,-2.32,0.08,0.05,0.16,0.05,0.07,0.00,0.00,0.01,0.01,0.09
EPS in Rs,,,,,0.44,0.14,0.19,0.00,0.00,0.03,0.03,0.25
