,Sep 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,269.0,201.0,111.0,212.0,283.0,386.0,419.0,363.0,532.0,431.0,443.0,452.0,495
Expenses,232.0,165.0,99.0,198.0,249.0,321.0,383.0,310.0,481.0,378.0,384.0,387.0,432
Operating Profit,37.0,36.0,12.0,14.0,34.0,65.0,36.0,52.0,51.0,53.0,59.0,65.0,63
OPM %,14.0,18.0,11.0,7.0,12.0,17.0,9.0,14.0,10.0,12.0,13.0,14.0,13
Other Income,4.0,0.0,0.0,1.0,1.0,6.0,-2.0,-15.0,2.0,4.0,7.0,11.0,13
Interest,30.0,21.0,9.0,16.0,18.0,19.0,14.0,21.0,25.0,18.0,19.0,25.0,26
Depreciation,8.0,6.0,3.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,10
Profit before tax,3.0,10.0,0.0,-9.0,8.0,45.0,13.0,8.0,19.0,31.0,40.0,42.0,40
Tax %,98.0,30.0,33.0,3.0,22.0,33.0,37.0,46.0,36.0,27.0,8.0,29.0,
Net Profit,0.0,7.0,0.0,-9.0,6.0,30.0,8.0,4.0,12.0,22.0,37.0,30.0,29
EPS in Rs,0.03,4.41,0.21,-5.67,3.86,19.32,5.41,2.82,7.94,14.47,21.86,17.27,16.48
