,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,17.18,17.26,19.26,16.57,13.18,4.77,3.84,4.57,0.00,2.51,3.54
Expenses,14.1,13.67,16.25,21.35,15.96,7.39,7.14,5.69,1.85,1.35,1.30
Operating Profit,3.08,3.59,3.01,-4.78,-2.78,-2.62,-3.3,-1.12,-1.85,1.16,2.24
OPM %,17.93,20.8,15.63,-28.85,-21.09,-54.93,-85.94,-24.51,,46.22,63.28
Other Income,2.44,2.66,0.38,7.65,-5.54,0.56,0.39,0.68,18.32,-2.54,-2.18
Interest,0.0,0.01,0.06,0.36,0.35,0.0,0.0,0.0,0.00,0.24,0.43
Depreciation,0.12,0.12,0.17,0.28,0.25,2.1,0.75,0.68,0.02,2.11,2.84
Profit before tax,5.4,6.12,3.16,2.23,-8.92,-4.16,-3.66,-1.12,16.45,-3.73,-3.21
Tax %,31.85,33.5,47.78,21.52,11.88,0.0,7.1,-2.68,0.00,-15.01,
Net Profit,3.68,4.07,1.65,1.75,-7.86,-4.16,-3.4,0.08,16.48,-3.11,-3.54
EPS in Rs,7.73,8.55,3.47,3.68,-16.51,-8.74,-7.14,0.17,34.61,-6.53,-7.44
