,Mar 2013,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.06,0.00,0.01,0.04,0.57,1.62,0.66,0.39,0.16,0.03,0.02,0.0
Expenses,0.19,0.12,0.07,0.9,1.75,1.0,2.07,1.31,0.94,0.43,0.24,0.23,0.22
Operating Profit,-0.19,-0.06,-0.07,-0.89,-1.71,-0.43,-0.45,-0.65,-0.55,-0.27,-0.21,-0.21,-0.22
OPM %,,-100.0,,-8900.0,-4275.0,-75.44,-27.78,-98.48,-141.03,-168.75,-700.0,-1050.0,
Other Income,0.00,0.13,0.00,0.22,1.13,0.08,0.18,0.04,0.04,0.03,0.13,0.11,0.19
Interest,0.51,0.0,0.00,0.04,0.0,0.02,0.03,0.03,0.03,0.0,0.0,0.0,0.0
Depreciation,0.00,0.0,0.00,0.55,0.31,0.2,0.22,0.16,0.15,0.13,0.74,0.14,0.11
Profit before tax,-0.70,0.07,-0.07,-1.26,-0.89,-0.57,-0.52,-0.8,-0.69,-0.37,-0.82,-0.24,-0.14
Tax %,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-0.70,0.07,-0.07,-1.26,-0.89,-0.57,-0.52,-0.8,-0.69,-0.38,-0.82,-0.24,-0.14
EPS in Rs,-1.62,0.16,-0.04,-0.73,-0.51,-0.33,-0.3,-0.46,-0.4,-0.22,-0.47,-0.14,-0.08
