,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.06,14.83,33.71,46.19,46.58,44.71,55.47,68.12,63.15,52.14,73.87,82.26,82.14
Expenses,11.63,13.87,32.29,43.87,44.42,43.16,53.47,65.48,59.41,46.51,67.84,74.34,70.99
Operating Profit,0.43,0.96,1.42,2.32,2.16,1.55,2.0,2.64,3.74,5.63,6.03,7.92,11.15
OPM %,3.57,6.47,4.21,5.02,4.64,3.47,3.61,3.88,5.92,10.8,8.16,9.63,13.57
Other Income,0.00,-0.10,-0.03,0.03,0.02,0.12,0.05,0.23,0.2,0.13,0.88,0.09,0.21
Interest,0.13,0.18,0.35,0.91,0.74,0.4,0.31,0.37,0.23,0.42,0.46,0.31,0.37
Depreciation,0.08,0.25,0.36,0.49,0.51,0.44,0.46,0.59,0.78,0.58,0.96,1.22,1.21
Profit before tax,0.22,0.43,0.68,0.95,0.93,0.83,1.28,1.91,2.93,4.76,5.49,6.48,9.78
Tax %,31.82,34.88,36.76,33.68,46.24,43.37,28.12,27.75,21.5,26.26,23.5,24.07,
Net Profit,0.15,0.27,0.44,0.62,0.5,0.47,0.92,1.38,2.29,3.51,4.19,4.92,7.48
EPS in Rs,,,44.0,62.0,50.0,47.0,92.0,138.0,32.71,2.6,3.1,3.66,5.56
