,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,28.57,18.93,33.21,29.98,43.88,43.46,38.8,43.34
Expenses,26.38,16.68,29.92,27.83,39.99,39.52,34.82,36.17
Operating Profit,2.19,2.25,3.29,2.15,3.89,3.94,3.98,7.17
OPM %,7.67,11.89,9.91,7.17,8.87,9.07,10.26,16.54
Other Income,0.18,0.14,0.08,0.7,0.17,0.03,0.06,0.15
Interest,0.11,0.19,0.23,0.27,0.19,0.12,0.19,0.18
Depreciation,0.39,0.29,0.29,0.34,0.63,0.58,0.64,0.57
Profit before tax,1.87,1.91,2.85,2.24,3.24,3.27,3.21,6.57
Tax %,25.13,25.13,27.02,21.43,14.81,22.32,25.86,22.53
Net Profit,1.4,1.43,2.08,1.76,2.76,2.53,2.39,5.09
EPS in Rs,20.0,1.28,1.54,1.3,2.04,1.87,1.78,3.78
