,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,677.0,543.0,491.0,472.0,506.0,564.0,539.0,702.0,761.0,949.0,1699.0,1274.0,1122
Expenses,605.0,571.0,510.0,466.0,500.0,512.0,463.0,623.0,667.0,783.0,1299.0,1114.0,979
Operating Profit,72.0,-28.0,-19.0,6.0,6.0,52.0,76.0,79.0,93.0,166.0,399.0,160.0,143
OPM %,11.0,-5.0,-4.0,1.0,1.0,9.0,14.0,11.0,12.0,18.0,24.0,13.0,13
Other Income,8.0,16.0,7.0,25.0,-2.0,107.0,21.0,0.0,1.0,43.0,21.0,-11.0,-14
Interest,21.0,41.0,58.0,60.0,55.0,47.0,36.0,38.0,38.0,28.0,14.0,15.0,10
Depreciation,67.0,70.0,68.0,71.0,72.0,34.0,32.0,30.0,43.0,35.0,35.0,40.0,40
Profit before tax,-8.0,-123.0,-138.0,-98.0,-123.0,78.0,28.0,12.0,12.0,146.0,372.0,95.0,78
Tax %,155.0,-7.0,-0.0,1.0,-1.0,0.0,16.0,-405.0,83.0,38.0,29.0,20.0,
Net Profit,5.0,-132.0,-138.0,-98.0,-124.0,78.0,24.0,58.0,2.0,90.0,265.0,76.0,67
EPS in Rs,0.4,-12.3,-12.89,-9.12,-11.06,6.98,2.08,5.23,0.27,8.02,23.63,6.79,5.97
