,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,561.0,599.0,685.0,782.0,825.0,846.0,885.0,1018.0,953.0,1035.0,1189.0,1306.0,1299
Expenses,500.0,541.0,622.0,703.0,722.0,710.0,724.0,826.0,775.0,830.0,966.0,1076.0,1045
Operating Profit,61.0,58.0,62.0,79.0,103.0,136.0,161.0,192.0,178.0,204.0,223.0,230.0,254
OPM %,11.0,10.0,9.0,10.0,13.0,16.0,18.0,19.0,19.0,20.0,19.0,18.0,20
Other Income,3.0,6.0,4.0,4.0,6.0,8.0,18.0,21.0,32.0,35.0,25.0,28.0,35
Interest,17.0,14.0,13.0,10.0,9.0,7.0,10.0,14.0,12.0,10.0,11.0,12.0,15
Depreciation,16.0,16.0,14.0,12.0,13.0,14.0,15.0,17.0,19.0,21.0,21.0,22.0,24
Profit before tax,32.0,33.0,39.0,61.0,87.0,123.0,153.0,182.0,179.0,208.0,216.0,223.0,250
Tax %,25.0,26.0,32.0,29.0,29.0,32.0,31.0,31.0,21.0,24.0,24.0,23.0,
Net Profit,24.0,25.0,27.0,43.0,62.0,84.0,105.0,126.0,141.0,158.0,165.0,172.0,192
EPS in Rs,10.13,10.43,11.75,19.71,28.29,38.55,48.06,57.44,64.22,76.83,79.92,84.5,94.06
