,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,379.0,228.0,246.0,4.0,2.0,133.0,312.0,361.0,291.0,144.0,259.0,321.0,336
Expenses,360.0,224.0,264.0,39.0,22.0,118.0,296.0,333.0,298.0,153.0,253.0,320.0,348
Operating Profit,18.0,4.0,-18.0,-35.0,-20.0,15.0,16.0,28.0,-6.0,-9.0,6.0,1.0,-12
OPM %,5.0,2.0,-7.0,-891.0,-1073.0,11.0,5.0,8.0,-2.0,-6.0,2.0,0.0,-3
Other Income,3.0,2.0,4.0,15.0,9.0,4.0,2.0,7.0,37.0,12.0,23.0,2.0,-15
Interest,8.0,3.0,5.0,7.0,11.0,17.0,18.0,14.0,4.0,4.0,1.0,1.0,1
Depreciation,4.0,4.0,10.0,10.0,11.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2
Profit before tax,9.0,-1.0,-29.0,-37.0,-33.0,-2.0,-3.0,19.0,24.0,-3.0,26.0,0.0,-30
Tax %,37.0,-98.0,2.0,33.0,26.0,25.0,112.0,20.0,51.0,80.0,33.0,-23100.0,
Net Profit,6.0,-3.0,-28.0,-25.0,-25.0,-1.0,0.0,15.0,12.0,-1.0,17.0,7.0,-25
EPS in Rs,0.29,-0.14,-1.42,-1.16,-1.19,-0.01,0.08,0.78,0.59,-0.02,0.89,0.43,-1.24
