,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,9.0,96.0,101.0,159.0,193.0,191.0,234.0,313.0,337.0,348
Expenses,0.0,10.0,92.0,94.0,149.0,182.0,172.0,202.0,268.0,298.0,306
Operating Profit,0.0,-1.0,4.0,8.0,10.0,12.0,20.0,33.0,45.0,39.0,41
OPM %,,-7.0,4.0,7.0,6.0,6.0,10.0,14.0,14.0,11.0,12
Other Income,0.0,0.0,5.0,-0.0,8.0,7.0,1.0,1.0,1.0,1.0,1
Interest,0.0,0.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,6
Depreciation,0.0,0.0,3.0,3.0,7.0,7.0,9.0,8.0,8.0,9.0,9
Profit before tax,0.0,-1.0,4.0,2.0,5.0,7.0,6.0,21.0,33.0,24.0,27
Tax %,,0.0,56.0,-4.0,17.0,24.0,26.0,24.0,25.0,25.0,
Net Profit,0.0,-1.0,2.0,2.0,4.0,5.0,5.0,16.0,24.0,18.0,20
EPS in Rs,0.0,-34.52,55.52,44.65,11.87,2.53,2.21,7.74,11.92,8.83,9.97
