,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,62.25,66.38,66.92,67.97,50.11,61.0,69.0,96.97,97.24,82.36,90.44,97.96,94.69
Expenses,61.73,63.54,63.77,64.15,46.58,57.75,64.61,92.69,93.15,78.52,86.96,93.79,89.39
Operating Profit,0.52,2.84,3.15,3.82,3.53,3.25,4.39,4.28,4.09,3.84,3.48,4.17,5.30
OPM %,0.84,4.28,4.71,5.62,7.04,5.33,6.36,4.41,4.21,4.66,3.85,4.26,5.60
Other Income,3.05,0.57,0.8,0.15,0.14,0.35,0.97,1.1,0.56,1.43,1.52,1.33,0.00
Interest,0.95,0.86,0.82,0.89,0.89,0.88,0.92,1.06,1.38,1.07,0.68,0.88,0.69
Depreciation,1.52,1.53,2.04,2.55,2.11,1.78,1.65,1.47,1.43,1.34,1.3,1.8,1.82
Profit before tax,1.1,1.02,1.09,0.53,0.67,0.94,2.79,2.85,1.84,2.86,3.02,2.82,2.79
Tax %,32.73,36.27,34.86,33.96,38.81,36.17,32.97,27.02,30.43,24.83,26.49,26.6,
Net Profit,0.75,0.65,0.71,0.34,0.42,0.6,1.86,2.07,1.28,2.16,2.22,2.06,2.04
EPS in Rs,0.39,0.34,0.37,0.18,0.22,0.31,0.97,1.08,0.67,1.13,1.16,1.08,1.02
