,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3687.0,3872.0,4277.0,4616.0,4924.0,6486.0,6648.0,6213.0,8828.0,10577.0,9893
Expenses,3686.0,3818.0,4235.0,4559.0,4886.0,6350.0,6444.0,5972.0,8495.0,10102.0,9425
Operating Profit,1.0,54.0,42.0,57.0,38.0,136.0,204.0,241.0,334.0,475.0,468
OPM %,0.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,5
Other Income,58.0,13.0,31.0,14.0,24.0,16.0,13.0,37.0,86.0,51.0,25
Interest,17.0,19.0,14.0,13.0,22.0,56.0,74.0,41.0,39.0,89.0,96
Depreciation,16.0,15.0,15.0,13.0,16.0,26.0,52.0,68.0,70.0,80.0,85
Profit before tax,27.0,34.0,44.0,45.0,24.0,69.0,91.0,170.0,310.0,357.0,312
Tax %,11.0,16.0,2.0,11.0,13.0,0.0,10.0,13.0,6.0,8.0,
Net Profit,24.0,29.0,43.0,38.0,20.0,69.0,81.0,148.0,293.0,327.0,281
EPS in Rs,612.33,1.67,2.14,1.1,-0.6,3.37,3.53,6.48,19.08,20.24,16.64
