,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,8,44.0,78.0,97.0,102.0,141.0,162.0,162.0,185.0,268.0,263
Expenses,0.0,7,42.0,74.0,93.0,97.0,134.0,153.0,153.0,173.0,247.0,244
Operating Profit,0.0,0,2.0,3.0,4.0,5.0,7.0,9.0,9.0,12.0,21.0,20
OPM %,,6,4.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,8.0,7
Other Income,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
Interest,0.0,0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,6.0,5
Depreciation,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2
Profit before tax,0.0,0,0.0,1.0,1.0,1.0,3.0,5.0,6.0,7.0,13.0,14
Tax %,,,212.0,23.0,19.0,11.0,29.0,28.0,30.0,25.0,26.0,
Net Profit,0.0,0,-0.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,10.0,11
EPS in Rs,0.0,0.00,-0.47,0.99,1.76,1.8,2.45,3.43,4.18,5.27,9.62,10.76
