,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,177.0,297.0,266.0,238.0,228.0,276.0,281.0,275.0,438.0,466.0,407
Expenses,167.0,293.0,260.0,234.0,216.0,260.0,262.0,261.0,410.0,435.0,375
Operating Profit,11.0,4.0,6.0,4.0,12.0,16.0,20.0,14.0,28.0,32.0,32
OPM %,6.0,1.0,2.0,2.0,5.0,6.0,7.0,5.0,6.0,7.0,8
Other Income,1.0,1.0,0.0,3.0,2.0,2.0,3.0,1.0,0.0,3.0,4
Interest,4.0,6.0,7.0,7.0,7.0,9.0,12.0,13.0,13.0,17.0,19
Depreciation,3.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7
Profit before tax,4.0,-7.0,-6.0,-6.0,2.0,4.0,5.0,-4.0,9.0,11.0,9
Tax %,44.0,15.0,21.0,4.0,40.0,-82.0,-14.0,21.0,13.0,20.0,
Net Profit,3.0,-6.0,-5.0,-5.0,1.0,7.0,6.0,-3.0,7.0,9.0,7
EPS in Rs,50.2,-0.95,-0.77,-0.82,0.19,1.12,0.89,-0.48,1.14,1.35,1.07
