,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.62,7.47,8.3,13.75,15.38,24.18,28.92,31.07,22.76,1.27,0.39,1.0,6.45
Expenses,4.52,6.65,7.08,11.05,12.78,21.12,23.59,29.84,27.56,3.0,1.66,5.32,12.47
Operating Profit,-0.9,0.82,1.22,2.7,2.6,3.06,5.33,1.23,-4.8,-1.73,-1.27,-4.32,-6.02
OPM %,-24.86,10.98,14.7,19.64,16.91,12.66,18.43,3.96,-21.09,-136.22,-325.64,-432.0,-93.33
Other Income,0.01,0.01,0.03,0.01,0.02,0.06,0.4,2.95,3.75,0.2,0.17,0.4,0.61
Interest,0.01,0.01,0.0,0.41,0.77,0.88,1.57,1.67,1.54,1.55,0.9,1.34,1.37
Depreciation,0.64,0.64,0.77,1.05,1.02,1.02,1.34,1.36,1.35,0.73,0.62,0.62,0.66
Profit before tax,-1.54,0.18,0.48,1.25,0.83,1.22,2.82,1.15,-3.94,-3.81,-2.62,-5.88,-7.44
Tax %,-7.79,50.0,2.08,-8.8,8.43,-1.64,22.7,18.26,6.6,47.24,66.03,3.57,
Net Profit,-1.66,0.08,0.47,1.36,0.77,1.25,2.19,0.94,-3.68,-2.01,-0.89,-5.66,-7.64
EPS in Rs,-0.22,0.01,0.06,0.11,0.06,0.47,0.75,0.31,-1.21,-0.55,-0.24,-1.54,-2.06
