,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1248.0,1281.0,1052.0,950.0,701.0,889.0,1049.0,1245.0,1225.0,1145.0,1806.0,2150.0,1875
Expenses,1187.0,1287.0,1053.0,976.0,704.0,821.0,956.0,1154.0,1132.0,975.0,1558.0,2023.0,1789
Operating Profit,61.0,-6.0,-1.0,-26.0,-4.0,68.0,93.0,92.0,93.0,170.0,248.0,128.0,87
OPM %,5.0,-0.0,-0.0,-3.0,-1.0,8.0,9.0,7.0,8.0,15.0,14.0,6.0,5
Other Income,11.0,24.0,15.0,13.0,73.0,28.0,15.0,10.0,17.0,35.0,18.0,25.0,30
Interest,32.0,32.0,32.0,20.0,15.0,34.0,7.0,7.0,9.0,7.0,6.0,7.0,7
Depreciation,37.0,39.0,30.0,21.0,18.0,16.0,22.0,20.0,22.0,23.0,24.0,21.0,21
Profit before tax,3.0,-52.0,-49.0,-54.0,37.0,46.0,79.0,75.0,79.0,175.0,236.0,124.0,89
Tax %,16.0,42.0,38.0,34.0,0.0,71.0,32.0,23.0,20.0,28.0,26.0,24.0,
Net Profit,-0.0,-34.0,-35.0,-43.0,37.0,13.0,53.0,57.0,63.0,126.0,175.0,94.0,71
EPS in Rs,-0.03,-3.78,-3.9,-4.74,4.1,1.49,5.93,6.34,7.03,14.03,19.49,10.47,7.86
